Technology	Scenario	Parameter	Offset	Value	Units	Notes
ATJ Corn Dry Mill	Moderate	Capital	5	192850000	USD/biorefinery	SoT value less random percent between 5 and 10%
ATJ Corn Dry Mill	Moderate	Fixed	6	24180400	USD/year	Labor, Supplies, and Overheads + Utilities (Fig 7)
ATJ Corn Dry Mill	Moderate	DDGS	7	115468.8	kg/year	SoT +/- random percent up to 5%
ATJ Corn Dry Mill	Moderate	Electricity	8	0	kWh/year	
ATJ Corn Dry Mill	Moderate	Diesel	9	4232800	gal/year	SoT +/- random percent up to 5%
ATJ Corn Dry Mill	Moderate	Gasoline	10	9433400	gal/year	SoT +/- random percent up to 5%
ATJ Corn Dry Mill	Moderate	Propane	11	0	gal/year	
ATJ Corn Dry Mill	Moderate	Jet	12	st.triang(0.5,34962480,7769440)	gal/year	SoT varied between -3% and +7% random
ATJ Corn Dry Mill	Moderate	DDGS Price	13	0.22	USD/kg	
ATJ Corn Dry Mill	Moderate	Electricity Price	14	0.057	USD/kWh	
ATJ Corn Dry Mill	Moderate	Diesel Price	15	3.25	USD/gal	
ATJ Corn Dry Mill	Moderate	Gasoline Price	16	2	USD/gal	
ATJ Corn Dry Mill	Moderate	Propane Price	17	0.6	USD/gal	
ATJ Corn Dry Mill	Moderate	Feedstock Price	18	187.04	USD/dry metric ton biomass	
ATJ Corn Dry Mill	Moderate	Raw Material Price	19	1000	USD/kg	
ATJ Corn Dry Mill	Incremental	Annual GHG	0	st.triang(0.5,333701124,74155805)	kg CO2eq/yr	78 g CO2eq/MJ jet product; Source: Han 2017; calculated from jet output
ATJ Corn Dry Mill	Incremental	Jet LHV	1	121.13	MJ/gal	Source: Capaz 2021, converted from GJ/m3
ATJ Corn Dry Mill	Incremental	Discount Rate	2	0.1	unitless	
ATJ Corn Dry Mill	Incremental	Depreciation Period	3	7	years	
ATJ Corn Dry Mill	Incremental	Income Tax Rate	4	0.35	unitless	
ATJ Corn Dry Mill	Incremental	Capital	5	211120000	USD/biorefinery	SoT value +/- random percent up to 5%
ATJ Corn Dry Mill	Incremental	Fixed	6	24180400	USD/year	Labor, Supplies, and Overheads + Utilities (Fig 7)
ATJ Corn Dry Mill	Incremental	DDGS	7	114278.4	kg/year	SoT minus random percent up to 10%
ATJ Corn Dry Mill	Incremental	Electricity	8	0	kWh/year	
ATJ Corn Dry Mill	Incremental	Diesel	9	4070000	gal/year	SoT minus random percent up to 10%
ATJ Corn Dry Mill	Incremental	Gasoline	10	9246600	gal/year	SoT value minus random percent between 0 and 10%
ATJ Corn Dry Mill	Incremental	Propane	11	0	gal/year	
ATJ Corn Dry Mill	Incremental	Jet	12	st.triang(0.5,35676000,7928000)	gal/year	SoT +/- up to 3% random
ATJ Corn Dry Mill	Incremental	DDGS Price	13	0.22	USD/kg	
ATJ Corn Dry Mill	Incremental	Electricity Price	14	0.057	USD/kWh	
ATJ Corn Dry Mill	Incremental	Diesel Price	15	3.25	USD/gal	
ATJ Corn Dry Mill	Incremental	Gasoline Price	16	2	USD/gal	
ATJ Corn Dry Mill	Incremental	Propane Price	17	0.6	USD/gal	
ATJ Corn Dry Mill	Incremental	Feedstock Price	18	187.04	USD/dry metric ton biomass	
ATJ Corn Dry Mill	Incremental	Raw Material Price	19	1000	USD/kg	
ATJ Stover Thermochem	State of Technology	Annual GHG	0	st.triang(0.5,83074879,18461084)	kg CO2eq/yr	28 g CO2eq/MJ jet product; Source: Capaz 2021
ATJ Stover Thermochem	State of Technology	Jet LHV	1	121.13	MJ/gal	Source: Capaz 2021, converted from GJ/m3
ATJ Stover Thermochem	State of Technology	Discount Rate	2	0.1	unitless	
ATJ Stover Thermochem	State of Technology	Depreciation Period	3	7	years	
ATJ Stover Thermochem	State of Technology	Income Tax Rate	4	0.35	unitless	
ATJ Stover Thermochem	State of Technology	Capital	5	337000000	USD/biorefinery	Tao et al (2016) ATJ; Fig 6
ATJ Stover Thermochem	State of Technology	Fixed	6	15185500	USD/year	Labor, Supplies, and Overheads + Utilities (Fig 7)
ATJ Stover Thermochem	State of Technology	DDGS	7	0	kg/year	
ATJ Stover Thermochem	State of Technology	Electricity	8	101721053	kWh/year	Table 7 for total revenue and Table 1 for selling price
ATJ Stover Thermochem	State of Technology	Diesel	9	3130000	gal/year	Tao et al (2016) ATJ; Table 6
ATJ Stover Thermochem	State of Technology	Gasoline	10	6540000	gal/year	Tao et al (2016) ATJ; Table 6
ATJ Stover Thermochem	State of Technology	Propane	11	0	gal/year	
ATJ Stover Thermochem	State of Technology	Jet	12	st.triang(0.5, 24849000,5522000)	gal/year	Tao et al (2016) ATJ; Table 6 +/- 10%
ATJ Stover Thermochem	State of Technology	DDGS Price	13	0.22	USD/kg	
ATJ Stover Thermochem	State of Technology	Electricity Price	14	0.057	USD/kWh	
ATJ Stover Thermochem	State of Technology	Diesel Price	15	3.25	USD/gal	
ATJ Stover Thermochem	State of Technology	Gasoline Price	16	2	USD/gal	
ATJ Stover Thermochem	State of Technology	Propane Price	17	0.6	USD/gal	
ATJ Stover Thermochem	State of Technology	Feedstock Price	18	88.18	USD/dry metric ton biomass	
ATJ Stover Thermochem	State of Technology	Raw Material Price	19	1000	USD/kg	
ATJ Stover Thermochem	Moderate	Annual GHG	0	st.triang(0.5,73382809,16307291)	kg CO2eq/yr	23 g CO2eq/MJ jet product; Source: Han 2017; calculated from jet output
ATJ Stover Thermochem	Moderate	Jet LHV	1	121.13	MJ/gal	Source: Capaz 2021, converted from GJ/m3
ATJ Stover Thermochem	Moderate	Discount Rate	2	0.1	unitless	
ATJ Stover Thermochem	Moderate	Depreciation Period	3	7	years	
ATJ Stover Thermochem	Moderate	Income Tax Rate	4	0.35	unitless	
ATJ Stover Thermochem	Moderate	Capital	5	320150000	USD/biorefinery	SoT value less random percent between 5 and 10%
ATJ Stover Thermochem	Moderate	Fixed	6	15185500	USD/year	Labor, Supplies, and Overheads + Utilities (Fig 7)
ATJ Stover Thermochem	Moderate	DDGS	7	0	kg/year	
ATJ Stover Thermochem	Moderate	Electricity	8	106807105.7	kWh/year	SoT +/- random percent up to 5%
ATJ Stover Thermochem	Moderate	Diesel	9	3004800	gal/year	SoT +/- random percent up to 5%
ATJ Stover Thermochem	Moderate	Gasoline	10	6605400	gal/year	SoT value +/- random percent up to 5%
ATJ Stover Thermochem	Moderate	Propane	11	0	gal/year	
ATJ Stover Thermochem	Moderate	Jet	12	st.triang(0.5,26339940,5853320)	gal/year	SoT varied between -3% and +7% random
ATJ Stover Thermochem	Moderate	DDGS Price	13	0.22	USD/kg	
ATJ Stover Thermochem	Moderate	Electricity Price	14	0.057	USD/kWh	
ATJ Stover Thermochem	Moderate	Diesel Price	15	3.25	USD/gal	
ATJ Stover Thermochem	Moderate	Gasoline Price	16	2	USD/gal	
ATJ Stover Thermochem	Moderate	Propane Price	17	0.6	USD/gal	
ATJ Stover Thermochem	Moderate	Feedstock Price	18	88.18	USD/dry metric ton biomass	
ATJ Stover Thermochem	Moderate	Raw Material Price	19	1000	USD/kg	
ATJ Stover Thermochem	Incremental	Annual GHG	0	st.triang(0.5,108509035,24113119)	kg CO2eq/yr	35 g CO2eq/MJ jet product; Source: Capaz 2021; calculated from jet output
ATJ Stover Thermochem	Incremental	Jet LHV	1	121.13	MJ/gal	Source: Capaz 2021, converted from GJ/m3
ATJ Stover Thermochem	Incremental	Discount Rate	2	0.1	unitless	
ATJ Stover Thermochem	Incremental	Depreciation Period	3	7	years	
ATJ Stover Thermochem	Incremental	Income Tax Rate	4	0.35	unitless	
ATJ Stover Thermochem	Incremental	Capital	5	337000000	USD/biorefinery	SoT value +/- random percent up to 5%
ATJ Stover Thermochem	Incremental	Fixed	6	15185500	USD/year	Labor, Supplies, and Overheads + Utilities (Fig 7)
ATJ Stover Thermochem	Incremental	DDGS	7	0	kg/year	
ATJ Stover Thermochem	Incremental	Electricity	8	97652210.88	kWh/year	SoT minus random percent up to 10%
ATJ Stover Thermochem	Incremental	Diesel	9	2973500	gal/year	SoT minus random percent up to 10%
ATJ Stover Thermochem	Incremental	Gasoline	10	6147600	gal/year	SoT value minus random percent between 0 and 10%
ATJ Stover Thermochem	Incremental	Propane	11	0	gal/year	
ATJ Stover Thermochem	Incremental	Jet	12	st.triang(0.5,24849000,5522000)	gal/year	SoT +/- up to 3% random
ATJ Stover Thermochem	Incremental	DDGS Price	13	0.22	USD/kg	
ATJ Stover Thermochem	Incremental	Electricity Price	14	0.057	USD/kWh	
ATJ Stover Thermochem	Incremental	Diesel Price	15	3.25	USD/gal	
ATJ Stover Thermochem	Incremental	Gasoline Price	16	2	USD/gal	
ATJ Stover Thermochem	Incremental	Propane Price	17	0.6	USD/gal	
ATJ Stover Thermochem	Incremental	Feedstock Price	18	88.18	USD/dry metric ton biomass	
ATJ Stover Thermochem	Incremental	Raw Material Price	19	1000	USD/kg	
HEFA Camelina	State of Technology	Annual GHG	0	st.triang(0.5,295643202,65698489)	kg CO2eq/yr	47 g CO2eq/MJ jet product; Source: Zemanek 2020/De Jong (energy allocation)
HEFA Camelina	State of Technology	Jet LHV	1	121.13	MJ/gal	Source: Capaz 2021, converted from GJ/m3
HEFA Camelina	State of Technology	Discount Rate	2	0.1	unitless	
HEFA Camelina	State of Technology	Depreciation Period	3	7	years	
HEFA Camelina	State of Technology	Income Tax Rate	4	0.35	unitless	
HEFA Camelina	State of Technology	Capital	5	348800000	USD/biorefinery	estimate based on range given in text
HEFA Camelina	State of Technology	Fixed	6	14425000	USD/year	Fig. 6
HEFA Camelina	State of Technology	DDGS	7	0	kg/year	
HEFA Camelina	State of Technology	Electricity	8	0	kWh/year	
HEFA Camelina	State of Technology	Diesel	9	1200000	gal/year	calculated using 4.7 gal/dry ton oil yield
HEFA Camelina	State of Technology	Gasoline	10	25900000	gal/year	calculated using 100 gal/dry ton oil yield
HEFA Camelina	State of Technology	Propane	11	260000	gal/year	gas; calculated using 1 gal/dry ton oil yield
HEFA Camelina	State of Technology	Jet	12	st.triang(0.5, 51930000, 11540000)	gal/year	given in Table 3 of Tao et al. (2017) +/- 10%
HEFA Camelina	State of Technology	DDGS Price	13	0.22	USD/kg	
HEFA Camelina	State of Technology	Electricity Price	14	0.057	USD/kWh	
HEFA Camelina	State of Technology	Diesel Price	15	3.25	USD/gal	
HEFA Camelina	State of Technology	Gasoline Price	16	2	USD/gal	
HEFA Camelina	State of Technology	Propane Price	17	0.6	USD/gal	
HEFA Camelina	State of Technology	Feedstock Price	18	1587.59	USD/dry ton oil	
HEFA Camelina	State of Technology	Raw Material Price	19	1000	USD/kg	
HEFA Camelina	Moderate	Annual GHG	0	st.triang(0.5,136431160,30318036)	kg CO2eq/yr	22 g CO2eq/MJ jet product; Source: Zemanek 2020/Shonnard (energy allocation); calculated from jet output
HEFA Camelina	Moderate	Jet LHV	1	121.13	MJ/gal	Source: Capaz 2021, converted from GJ/m3
HEFA Camelina	Moderate	Discount Rate	2	0.1	unitless	
HEFA Camelina	Moderate	Depreciation Period	3	7	years	
HEFA Camelina	Moderate	Income Tax Rate	4	0.35	unitless	
HEFA Camelina	Moderate	Capital	5	317408000	USD/biorefinery	SoT value less random percent between 5 and 10%
HEFA Camelina	Moderate	Fixed	6	14425000	USD/year	Fig. 6
HEFA Camelina	Moderate	DDGS	7	0	kg/year	
HEFA Camelina	Moderate	Electricity	8	0	kWh/year	
HEFA Camelina	Moderate	Diesel	9	1176000	gal/year	SoT +/- random percent up to 5%
HEFA Camelina	Moderate	Gasoline	10	3192600	gal/year	SoT value +/- random percent up to 5%
HEFA Camelina	Moderate	Propane	11	270400	gal/year	SoT +/- random percent up to 5%
HEFA Camelina	Moderate	Jet	12	st.triang(0.5,50372100,11193800)	gal/year	SoT varied between -3% and +7% random
HEFA Camelina	Moderate	DDGS Price	13	0.22	USD/kg	
HEFA Camelina	Moderate	Electricity Price	14	0.057	USD/kWh	
HEFA Camelina	Moderate	Diesel Price	15	3.25	USD/gal	
HEFA Camelina	Moderate	Gasoline Price	16	2	USD/gal	
HEFA Camelina	Moderate	Propane Price	17	0.6	USD/gal	
HEFA Camelina	Moderate	Feedstock Price	18	1587.59	USD/dry ton oil	
HEFA Camelina	Moderate	Raw Material Price	19	1000	USD/kg	
HEFA Camelina	Incremental	Annual GHG	0	st.triang(0.5,203440265,45208948)	kg CO2eq/yr	31 g CO2eq/MJ jet product; Source: Zemanek 2020/Lokesh (energy allocation); calculated from jet output
HEFA Camelina	Incremental	Jet LHV	1	121.13	MJ/gal	Source: Capaz 2021, converted from GJ/m3
HEFA Camelina	Incremental	Discount Rate	2	0.1	unitless	
HEFA Camelina	Incremental	Depreciation Period	3	7	years	
HEFA Camelina	Incremental	Income Tax Rate	4	0.35	unitless	
HEFA Camelina	Incremental	Capital	5	352288000	USD/biorefinery	SoT value +/- random percent up to 5%
HEFA Camelina	Incremental	Fixed	6	14425000	USD/year	Fig. 6
HEFA Camelina	Incremental	DDGS	7	0	kg/year	
HEFA Camelina	Incremental	Electricity	8	0	kWh/year	
HEFA Camelina	Incremental	Diesel	9	1188000	gal/year	SoT minus random percent up to 10%
HEFA Camelina	Incremental	Gasoline	10	23569000	gal/year	SoT value minus random percent between 0 and 10%
HEFA Camelina	Incremental	Propane	11	234000	gal/year	SoT minus random percent up to 10%
HEFA Camelina	Incremental	Jet	12	st.triang(0.5,51930000,11540000)	gal/year	SoT +/- up to 3% random
HEFA Camelina	Incremental	DDGS Price	13	0.22	USD/kg	
HEFA Camelina	Incremental	Electricity Price	14	0.057	USD/kWh	
HEFA Camelina	Incremental	Diesel Price	15	3.25	USD/gal	
HEFA Camelina	Incremental	Gasoline Price	16	2	USD/gal	
HEFA Camelina	Incremental	Propane Price	17	0.6	USD/gal	
HEFA Camelina	Incremental	Feedstock Price	18	1587.59	USD/dry ton oil	
HEFA Camelina	Incremental	Raw Material Price	19	1000	USD/kg	
HEFA Castor	State of Technology	Annual GHG	0	st.triang(0.5,293517371,65226082)	kg CO2eq/yr	53 g CO2eq/MJ jet product; Source: Liu 2021
HEFA Castor	State of Technology	Jet LHV	1	121.13	MJ/gal	Source: Capaz 2021, converted from GJ/m3
HEFA Castor	State of Technology	Discount Rate	2	0.1	unitless	
HEFA Castor	State of Technology	Depreciation Period	3	7	years	
HEFA Castor	State of Technology	Income Tax Rate	4	0.35	unitless	
HEFA Castor	State of Technology	Capital	5	341000000	USD/biorefinery	
HEFA Castor	State of Technology	Fixed	6	11176000	USD/year	
HEFA Castor	State of Technology	DDGS	7	0	kg/year	
HEFA Castor	State of Technology	Electricity	8	0	kWh/year	
HEFA Castor	State of Technology	Diesel	9	100000	gal/year	
HEFA Castor	State of Technology	Gasoline	10	24600000	gal/year	
HEFA Castor	State of Technology	Propane	11	500000	gal/year	
HEFA Castor	State of Technology	Jet	12	st.triang(0.5,45720000,10160000)	gal/year	given in Table 3 of Tao et al. (2017) +/- 10%
HEFA Castor	State of Technology	DDGS Price	13	0.22	USD/kg	
HEFA Castor	State of Technology	Electricity Price	14	0.057	USD/kWh	
HEFA Castor	State of Technology	Diesel Price	15	3.25	USD/gal	
HEFA Castor	State of Technology	Gasoline Price	16	2	USD/gal	
HEFA Castor	State of Technology	Propane Price	17	0.6	USD/gal	
HEFA Castor	State of Technology	Feedstock Price	18	1542.23	USD/dry ton oil	
HEFA Castor	State of Technology	Raw Material Price	19	1000	USD/kg	
HEFA Castor	Moderate	Annual GHG	0	st.triang(0.5,233872426,51971650)	kg CO2eq/yr	41 g CO2eq/MJ jet product; Source: Liu 2021; calculated from jet output
HEFA Castor	Moderate	Jet LHV	1	121.13	MJ/gal	Source: Capaz 2021, converted from GJ/m3
HEFA Castor	Moderate	Discount Rate	2	0.1	unitless	
HEFA Castor	Moderate	Depreciation Period	3	7	years	
HEFA Castor	Moderate	Income Tax Rate	4	0.35	unitless	
HEFA Castor	Moderate	Capital	5	320540000	USD/biorefinery	SoT value less random percent between 5 and 10%
HEFA Castor	Moderate	Fixed	6	11176000	USD/year	
HEFA Castor	Moderate	DDGS	7	0	kg/year	
HEFA Castor	Moderate	Electricity	8	0	kWh/year	
HEFA Castor	Moderate	Diesel	9	100000	gal/year	SoT +/- random percent up to 5%
HEFA Castor	Moderate	Gasoline	10	24354000	gal/year	SoT value +/- random percent up to 5%
HEFA Castor	Moderate	Propane	11	515000	gal/year	SoT +/- random percent up to 5%
HEFA Castor	Moderate	Jet	12	st.triang(0.5,47091600,10464800)	gal/year	SoT varied between -3% and +7% random
HEFA Castor	Moderate	DDGS Price	13	0.22	USD/kg	
HEFA Castor	Moderate	Electricity Price	14	0.057	USD/kWh	
HEFA Castor	Moderate	Diesel Price	15	3.25	USD/gal	
HEFA Castor	Moderate	Gasoline Price	16	2	USD/gal	
HEFA Castor	Moderate	Propane Price	17	0.6	USD/gal	
HEFA Castor	Moderate	Feedstock Price	18	1542.23	USD/dry ton oil	
HEFA Castor	Moderate	Raw Material Price	19	1000	USD/kg	
HEFA Castor	Incremental	Annual GHG	0	st.triang(0.5,436288650,96953033)	kg CO2eq/yr	78 g CO2eq/MJ jet product; Source: Liu 2021; calculated from jet output
HEFA Castor	Incremental	Jet LHV	1	121.13	MJ/gal	Source: Capaz 2021, converted from GJ/m3
HEFA Castor	Incremental	Discount Rate	2	0.1	unitless	
HEFA Castor	Incremental	Depreciation Period	3	7	years	
HEFA Castor	Incremental	Income Tax Rate	4	0.35	unitless	
HEFA Castor	Incremental	Capital	5	341000000	USD/biorefinery	SoT value +/- random percent up to 5%
HEFA Castor	Incremental	Fixed	6	11176000	USD/year	
HEFA Castor	Incremental	DDGS	7	0	kg/year	
HEFA Castor	Incremental	Electricity	8	0	kWh/year	
HEFA Castor	Incremental	Diesel	9	94000	gal/year	SoT minus random percent up to 10%
HEFA Castor	Incremental	Gasoline	10	23862000	gal/year	SoT value minus random percent between 0 and 10%
HEFA Castor	Incremental	Propane	11	465000	gal/year	SoT minus random percent up to 10%
HEFA Castor	Incremental	Jet	12	st.triang(0.5,45720000,10160000)	gal/year	SoT +/- up to 3% random
HEFA Castor	Incremental	DDGS Price	13	0.22	USD/kg	
HEFA Castor	Incremental	Electricity Price	14	0.057	USD/kWh	
HEFA Castor	Incremental	Diesel Price	15	3.25	USD/gal	
HEFA Castor	Incremental	Gasoline Price	16	2	USD/gal	
HEFA Castor	Incremental	Propane Price	17	0.6	USD/gal	
HEFA Castor	Incremental	Feedstock Price	18	1542.23	USD/dry ton oil	
HEFA Castor	Incremental	Raw Material Price	19	1000	USD/kg	
HEFA Jatropha	State of Technology	Annual GHG	0	st.triang(0.5,263821140,58626920)	kg CO2eq/yr	55 g CO2eq/MJ jet product; Source: Liu 2021
HEFA Jatropha	State of Technology	Jet LHV	1	121.13	MJ/gal	Source: Capaz 2021, converted from GJ/m3
HEFA Jatropha	State of Technology	Discount Rate	2	0.1	unitless	
HEFA Jatropha	State of Technology	Depreciation Period	3	7	years	
HEFA Jatropha	State of Technology	Income Tax Rate	4	0.35	unitless	
HEFA Jatropha	State of Technology	Capital	5	348800000	USD/biorefinery	
HEFA Jatropha	State of Technology	Fixed	6	14425000	USD/year	
HEFA Jatropha	State of Technology	DDGS	7	0	kg/year	
HEFA Jatropha	State of Technology	Electricity	8	0	kWh/year	
HEFA Jatropha	State of Technology	Diesel	9	800000	gal/year	calculated from 3.1 gal/dry ton oil and 258858 dry ton oil/yr
HEFA Jatropha	State of Technology	Gasoline	10	24400000	gal/year	calculated from 94.2 gal/dry ton oil and 258858 dry ton oil/yr
HEFA Jatropha	State of Technology	Propane	11	4700000	gal/year	calculated from 18.3 gal/dry ton oil and 258858 dry ton oil/yr
HEFA Jatropha	State of Technology	Jet	12	st.triang(0.5,39600000, 8800000)	gal/year	given in Table 3 of Tao et al. (2017) +/- 10%
HEFA Jatropha	State of Technology	DDGS Price	13	0.22	USD/kg	
HEFA Jatropha	State of Technology	Electricity Price	14	0.057	USD/kWh	
HEFA Jatropha	State of Technology	Diesel Price	15	3.25	USD/gal	
HEFA Jatropha	State of Technology	Gasoline Price	16	2	USD/gal	
HEFA Jatropha	State of Technology	Propane Price	17	0.6	USD/gal	
HEFA Jatropha	State of Technology	Feedstock Price	18	362.88	USD/dry ton oil	
HEFA Jatropha	State of Technology	Raw Material Price	19	1000	USD/kg	
HEFA Jatropha	Moderate	Annual GHG	0	st.triang(0.5,151960977,33769106)	kg CO2eq/yr	32 g CO2eq/MJ jet product; Source: Liu 2021; calculated from jet output
HEFA Jatropha	Moderate	Jet LHV	1	121.13	MJ/gal	Source: Capaz 2021, converted from GJ/m3
HEFA Jatropha	Moderate	Discount Rate	2	0.1	unitless	
HEFA Jatropha	Moderate	Depreciation Period	3	7	years	
HEFA Jatropha	Moderate	Income Tax Rate	4	0.35	unitless	
HEFA Jatropha	Moderate	Capital	5	324384000	USD/biorefinery	SoT value less random percent between 5 and 10%
HEFA Jatropha	Moderate	Fixed	6	14425000	USD/year	
HEFA Jatropha	Moderate	DDGS	7	0	kg/year	
HEFA Jatropha	Moderate	Electricity	8	0	kWh/year	
HEFA Jatropha	Moderate	Diesel	9	768000	gal/year	SoT +/- random percent up to 5%
HEFA Jatropha	Moderate	Gasoline	10	25376000	gal/year	SoT value +/- random percent up to 5%
HEFA Jatropha	Moderate	Propane	11	4512000	gal/year	SoT +/- random percent up to 5%
HEFA Jatropha	Moderate	Jet	12	st.triang(0.5,39204000,8712000)	gal/year	SoT varied between -3% and +7% random
HEFA Jatropha	Moderate	DDGS Price	13	0.22	USD/kg	
HEFA Jatropha	Moderate	Electricity Price	14	0.057	USD/kWh	
HEFA Jatropha	Moderate	Diesel Price	15	3.25	USD/gal	
HEFA Jatropha	Moderate	Gasoline Price	16	2	USD/gal	
HEFA Jatropha	Moderate	Propane Price	17	0.6	USD/gal	
HEFA Jatropha	Moderate	Feedstock Price	18	362.88	USD/dry ton oil	
HEFA Jatropha	Moderate	Raw Material Price	19	1000	USD/kg	
HEFA Jatropha	Incremental	Annual GHG	0	st.triang(0.5,502986995,111774888)	kg CO2eq/yr	107 g CO2eq/MJ jet product; Source: Liu 2021; calculated from jet output
HEFA Jatropha	Incremental	Jet LHV	1	121.13	MJ/gal	Source: Capaz 2021, converted from GJ/m3
HEFA Jatropha	Incremental	Discount Rate	2	0.1	unitless	
HEFA Jatropha	Incremental	Depreciation Period	3	7	years	
HEFA Jatropha	Incremental	Income Tax Rate	4	0.35	unitless	
HEFA Jatropha	Incremental	Capital	5	366240000	USD/biorefinery	SoT value +/- random percent up to 5%
HEFA Jatropha	Incremental	Fixed	6	14425000	USD/year	
HEFA Jatropha	Incremental	DDGS	7	0	kg/year	
HEFA Jatropha	Incremental	Electricity	8	0	kWh/year	
HEFA Jatropha	Incremental	Diesel	9	744000	gal/year	SoT minus random percent up to 10%
HEFA Jatropha	Incremental	Gasoline	10	22692000	gal/year	SoT value minus random percent between 0 and 10%
HEFA Jatropha	Incremental	Propane	11	4653000	gal/year	SoT minus random percent up to 10%
HEFA Jatropha	Incremental	Jet	12	st.triang(0.5,39600000,8800000)	gal/year	SoT +/- up to 3% random
HEFA Jatropha	Incremental	DDGS Price	13	0.22	USD/kg	
HEFA Jatropha	Incremental	Electricity Price	14	0.057	USD/kWh	
HEFA Jatropha	Incremental	Diesel Price	15	3.25	USD/gal	
HEFA Jatropha	Incremental	Gasoline Price	16	2	USD/gal	
HEFA Jatropha	Incremental	Propane Price	17	0.6	USD/gal	
HEFA Jatropha	Incremental	Feedstock Price	18	362.88	USD/dry ton oil	
HEFA Jatropha	Incremental	Raw Material Price	19	1000	USD/kg	
HEFA Pennycress	State of Technology	Annual GHG	0	st.triang(0.5,143663693,31925265)	kg CO2eq/yr	33 g CO2eq/MJ jet product; Source: Zemanek 2020/Fan (energy allocation)
HEFA Pennycress	State of Technology	Jet LHV	1	121.13	MJ/gal	Source: Capaz 2021, converted from GJ/m3
HEFA Pennycress	State of Technology	Discount Rate	2	0.1	unitless	
HEFA Pennycress	State of Technology	Depreciation Period	3	7	years	
HEFA Pennycress	State of Technology	Income Tax Rate	4	0.35	unitless	
HEFA Pennycress	State of Technology	Capital	5	354000000	USD/biorefinery	Fig. 6
HEFA Pennycress	State of Technology	Fixed	6	10881000	USD/year	Fig. 6
HEFA Pennycress	State of Technology	DDGS	7	0	kg/year	
HEFA Pennycress	State of Technology	Electricity	8	0	kWh/year	
HEFA Pennycress	State of Technology	Diesel	9	9500000	gal/year	36.9 gal/dry ton oil
HEFA Pennycress	State of Technology	Gasoline	10	19200000	gal/year	74.3 gal/dry ton oil
HEFA Pennycress	State of Technology	Propane	11	500000	gal/year	2.1 gal/dry ton oil
HEFA Pennycress	State of Technology	Jet	12	st.triang(0.5,36270000,8060000)	gal/year	given in Table 3 of Tao et al. (2017) +/- 10%
HEFA Pennycress	State of Technology	DDGS Price	13	0.22	USD/kg	
HEFA Pennycress	State of Technology	Electricity Price	14	0.057	USD/kWh	
HEFA Pennycress	State of Technology	Diesel Price	15	3.25	USD/gal	
HEFA Pennycress	State of Technology	Gasoline Price	16	2	USD/gal	
HEFA Pennycress	State of Technology	Propane Price	17	0.6	USD/gal	
HEFA Pennycress	State of Technology	Feedstock Price	18	734.83	USD/dry ton oil	
