Technology	Scenario	Variable	Index	Value	Units	Notes
Biorefinery	Conversion 0	Input	Feedstock	771750	metric ton/year	per one year of expected operations
Biorefinery	Conversion 0	Input price	Feedstock	58	USD/metric ton	average over expected biorefinery lifetime
Biorefinery	Conversion 0	Input efficiency	Feedstock	0.8	1	unitless fraction. Losses are during transport, storage, and preprocessing
Biorefinery	Conversion 0	Output price	Biofuel	2.15	USD/gal	average over expected biorefinery lifetime
Biorefinery	Conversion 0	Output efficiency	Biofuel	st.triang(0.5, loc=0.76, scale=0.83)	1	unitless fraction
Biorefinery	Conversion 0	Lifetime	Biorefinery	30	years	
Biorefinery	Conversion 0	Scale	Biorefinery	1	unitless	
Biorefinery	Conversion 1	Input	Feedstock	771750	metric ton/year	per one year of expected operations
Biorefinery	Conversion 1	Input price	Feedstock	58	USD/metric ton	average over expected biorefinery lifetime
Biorefinery	Conversion 1	Input efficiency	Feedstock	0.8	1	unitless fraction. Losses are during transport, storage, and preprocessing
Biorefinery	Conversion 1	Output price	Biofuel	2.15	USD/gal	average over expected biorefinery lifetime
Biorefinery	Conversion 1	Output efficiency	Biofuel	st.triang(0.5, loc=0.76, scale=0.88)	1	unitless fraction
Biorefinery	Conversion 1	Lifetime	Biorefinery	30	years	
Biorefinery	Conversion 1	Scale	Biorefinery	1	unitless	
Biorefinery	Conversion 2	Input	Feedstock	771750	metric ton/year	per one year of expected operations
Biorefinery	Conversion 2	Input price	Feedstock	58	USD/metric ton	average over expected biorefinery lifetime
Biorefinery	Conversion 2	Input efficiency	Feedstock	0.8	1	unitless fraction. Losses are during transport, storage, and preprocessing
Biorefinery	Conversion 2	Output price	Biofuel	2.15	USD/gal	average over expected biorefinery lifetime
Biorefinery	Conversion 2	Output efficiency	Biofuel	st.triang(0.5, loc=0.76, scale=0.91)	1	unitless fraction
Biorefinery	Conversion 2	Lifetime	Biorefinery	30	years	
Biorefinery	Conversion 2	Scale	Biorefinery	1	unitless	
Biorefinery	Separations 0	Input	Feedstock	771750	metric ton/year	per one year of expected operations
Biorefinery	Separations 0	Input price	Feedstock	58	USD/metric ton	average over expected biorefinery lifetime
Biorefinery	Separations 0	Input efficiency	Feedstock	0.8	1	unitless fraction. Losses are during transport, storage, and preprocessing
Biorefinery	Separations 0	Output price	Biofuel	2.15	USD/gal	average over expected biorefinery lifetime
Biorefinery	Separations 0	Output efficiency	Biofuel	st.triang(0.5, loc=0.76, scale=0.78)	1	unitless fraction
Biorefinery	Separations 0	Lifetime	Biorefinery	30	years	
Biorefinery	Separations 0	Scale	Biorefinery	1	unitless	
Biorefinery	Separations 1	Input	Feedstock	771750	metric ton/year	per one year of expected operations
Biorefinery	Separations 1	Input price	Feedstock	58	USD/metric ton	average over expected biorefinery lifetime
Biorefinery	Separations 1	Input efficiency	Feedstock	0.8	1	unitless fraction. Losses are during transport, storage, and preprocessing
Biorefinery	Separations 1	Output price	Biofuel	2.15	USD/gal	average over expected biorefinery lifetime
Biorefinery	Separations 1	Output efficiency	Biofuel	st.triang(0.5, loc=0.76, scale=0.80)	1	unitless fraction
Biorefinery	Separations 1	Lifetime	Biorefinery	30	years	
Biorefinery	Separations 1	Scale	Biorefinery	1	unitless	
Biorefinery	Separations 2	Input	Feedstock	771750	metric ton/year	per one year of expected operations
Biorefinery	Separations 2	Input price	Feedstock	58	USD/metric ton	average over expected biorefinery lifetime
Biorefinery	Separations 2	Input efficiency	Feedstock	0.8	1	unitless fraction. Losses are during transport, storage, and preprocessing
Biorefinery	Separations 2	Output price	Biofuel	2.15	USD/gal	average over expected biorefinery lifetime
Biorefinery	Separations 2	Output efficiency	Biofuel	st.triang(0.5, loc=0.76, scale=0.81)	1	unitless fraction
Biorefinery	Separations 2	Lifetime	Biorefinery	30	years	
Biorefinery	Separations 2	Scale	Biorefinery	1	unitless	
